Sample in Buffer,Sample in Window,TRIGGER,protpg_inst/data_in[23:0],protpg_inst/hsv_h[8:0],protpg_inst/hsv_s[7:0],protpg_inst/hsv_v[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
479,479,0,b0a8c0,282,42,127
480,480,0,b8d8d0,277,40,146
481,481,0,e0fcf8,258,29,164
482,482,0,f0fcf8,272,31,192
483,483,0,f0fcf8,162,27,218
484,484,0,f8fcf8,180,9,255
485,485,0,f8fcf8,180,9,255
486,486,0,f8fcf8,180,0,255
487,487,0,f8fcf8,0,0,255
488,488,0,f8fcf8,0,0,255
489,489,0,f8fcf8,0,0,255
490,490,0,f8fcf8,0,0,255
491,491,0,f8fcf8,0,0,255
492,492,0,f8fcf8,0,0,255
493,493,0,f8fcf8,0,0,255
494,494,0,f8fcf8,0,0,255
495,495,0,f8fcf8,0,0,255
496,496,0,f8fcf8,0,0,255
497,497,0,f8fcf8,0,0,255
498,498,0,f8fcf8,0,0,255
499,499,0,f8fcf8,0,0,255
500,500,0,f8fcf8,0,0,255
501,501,0,f8fcf8,0,0,255
502,502,0,f8fcf8,0,0,255
503,503,0,f8fcf8,0,0,255
504,504,0,f8fcf8,0,0,255
505,505,0,f8fcf8,0,0,255
506,506,0,f8fcf8,0,0,255
507,507,0,f8fcf8,0,0,255
508,508,0,f8fcf8,0,0,255
509,509,0,f8fcf8,0,0,255
510,510,0,f8fcf8,0,0,255
511,511,0,f8fcf8,0,0,255
512,512,0,f8fcf8,0,0,255
513,513,0,f8fcf8,0,0,255
514,514,0,f8fcf8,0,0,255
515,515,0,f8fcf0,0,0,255
516,516,0,f0dce8,0,0,255
517,517,0,d8c0d0,0,9,255
518,518,0,d8d0d8,60,23,255
519,519,0,e0d8e8,324,31,246
520,520,0,e8e0f0,320,12,219
521,521,0,f0ecf8,300,20,219
522,522,0,f8fcf8,271,22,237
523,523,0,f8fcf8,275,16,246
524,524,0,f8fcf8,266,0,255
525,525,0,f8fcf8,0,0,255
526,526,0,f8fcf8,0,0,255
527,527,0,f8fcf8,0,0,255
528,528,0,f8fcf8,0,0,255
529,529,0,f8fcf8,0,0,255
530,530,0,f0f4f8,0,0,255
531,531,0,e8f0f8,0,0,255
532,532,0,d8c8f8,0,10,255
533,533,0,c0b4e0,246,18,255
534,534,0,b8a4e0,230,53,255
535,535,0,a090c8,259,52,255
536,536,0,9890c0,254,70,228
537,537,0,9084b8,264,72,228
538,538,0,9088b0,261,64,201
539,539,0,8880a8,253,77,192
540,540,0,887ca0,253,61,191
541,541,0,8078a0,250,66,182
542,542,0,807498,252,57,173
543,543,0,807498,256,65,164
544,544,0,787098,248,62,164
545,545,0,787090,257,62,155
546,546,0,707090,257,71,155
547,547,0,706c90,260,59,155
548,548,0,706c88,266,59,146
549,549,0,686c88,250,61,146
550,550,0,606880,252,48,146
551,551,0,606880,256,52,137
552,552,0,606480,236,56,137
553,553,0,606480,228,56,128
554,554,0,606078,228,56,128
555,555,0,606078,238,56,128
556,556,0,586078,238,62,128
557,557,0,585c78,247,62,127
558,558,0,585878,247,72,127
559,559,0,505478,232,72,127
560,560,0,585078,234,74,127
561,561,0,505078,241,90,127
562,562,0,505078,236,94,127
563,563,0,505078,254,94,127
564,564,0,484c78,242,94,127
565,565,0,484c70,242,94,127
566,566,0,484878,242,108,127
